Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1905/prod/QC_ENRICHMENT/20260618/11/6e498809-4c5c-3814-b213-a79a975422ed/1_org_zoom.jpg,6,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1936/prod/QC_ENRICHMENT/20260618/11/fe589f84-5b57-3f26-93a7-cb90a4c6482c/1_org_zoom.jpg,7,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1932/prod/QC_ENRICHMENT/20260618/11/81b2f052-a9a6-3da3-bfca-23ec31ba7796/1_org_zoom.jpg,8,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1931/prod/QC_ENRICHMENT/20260618/11/61199ec7-77b5-392a-bbdb-15242f0db144/1_org_zoom.jpg,9,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1915/prod/QC_ENRICHMENT/20260618/11/b8d99d79-13c9-3bdc-bcfb-556ee7154aba/1_org_zoom.jpg,10,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,"<p><a href=""https://www.trendyol.com/dominant/kadin-7-gun-baskli-pamuklu-likrali-kulot-37000-704-p-839287600?boutiqueId=61&merchantId=4341&filterOverPriceListings=false&sav=true"" rel=""nofollow"">Trendyol kaynak</a></p>
<p>Kaynak ID: 839287600</p>",Dominant,Apparel & Accessories > Clothing > Underwear & Socks > Underwear,Kadın Külot,"trendyol-import, Kadın, Külot, dominant",true,Beden,M,,,,,,,,839287600-2,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1915/prod/QC_ENRICHMENT/20260618/11/b8d99d79-13c9-3bdc-bcfb-556ee7154aba/1_org_zoom.jpg,1,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,false,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,kg,,,,,,active
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,Beden,L,,,,,,,,839287600-3,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,Beden,XL,,,,,,,,839287600-4,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,Beden,2XL,,,,,,,,839287600-5,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,Beden,S,,,,,,,,839287600-6,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
